date,close1,close2,normalizedLogClose1,normalizedLogClose2,alpha,beta,spread
2017-04-11,90.98,17.545,-5.047692316109536,1.3885831575314158,-1.6813541945161283,-0.2982983344116068,-2.414693865348034
2017-04-12,88.84,18.015,-6.80846826170797,1.7636386816003533,-1.7572006464834444,-0.27587070706092,-3.4335305231757
2017-04-13,87.71,18.205,-7.7554126278069635,1.9124867860150059,-1.9195264494351134,-0.1899261748896106,-3.894417482966398
2017-04-17,89.46,18.205,-6.294010280482265,1.9124867860150059,-2.1291475252134124,-0.06030017958644514,-2.161743593448617
2017-04-18,89.515,18.225,-6.2485451811251265,1.9280645470607631,-2.266761620354862,0.04438973156065662,-1.9224721958415647
2017-04-19,89.865,18.375,-5.959874691904494,2.044355726415538,-2.4749583905563757,0.24823942592799744,-1.1484187594583817
2017-04-20,91.535,18.515,-4.59780518404017,2.152040831230294,-2.6936809330098086,0.49922489180943197,0.6998812782940198
2017-04-21,91.855,18.285,-4.339648971386872,1.9746954664335314,-2.7398861647287784,0.583831776790722,0.4869600398562812
2017-04-24,92.91,18.535,-3.4948657381807475,2.167357911743238,-2.8343706964061237,0.7268576791456152,1.9213723363426416
2017-04-25,93.485,18.605,-3.0384687430363972,2.2208378410517327,-2.8357182470281685,0.7889440645320447,2.470257581992599
2017-04-26,93.32,18.635,-3.169147012098919,2.24369624199071,-2.8426908813302263,0.8770170607117687,2.331970774771201
2017-04-27,93.64,18.765,-2.9159203003904577,2.3423259321583894,-2.776813912966093,0.8525785209243855,2.7357044158038457
2017-04-28,93.455,18.825,-3.0622112641306014,2.387617094156139,-2.5772055228880566,0.6353198643890194,2.455848833081514
2017-05-01,94.65,18.935,-2.122312192420475,2.4702772267756656,-2.2939373670049656,0.26360422792515725,3.280744817016467
2017-05-02,94.21,18.895,-2.46699632346364,2.440274689668989,-1.9160935834646895,-0.243781866382283,2.45258021768468
2017-05-03,93.225,18.805,-3.244490867951303,2.3725360994360076,-1.6000614306065135,-0.6886058447994962,1.2403184822773685
2017-05-04,89.695,18.785,-6.099945381522578,2.3574390568333943,-1.563608291838652,-0.7117484337752216,-1.70208569097837
2017-05-05,88.98,18.915,-6.691987196937502,2.4552838891085766,-1.5897920745943208,-0.717837215917924,-2.070759113235642
2017-05-08,88.35,19.315,-7.217602468496441,2.7521808224135555,-1.5448072060693046,-0.8612706812172899,-2.1047430204089457
