date,close1,close2,normalizedLogClose1,normalizedLogClose2,alpha,beta,spread
2018-05-15,22.815,32.745,0.5033751416784947,0.7776568092113206,0.13471682795276732,-0.9869450713173883,1.3855567544230636
2018-05-16,22.955,32.775,0.5741918603660442,0.7832757070437882,0.1693282168539471,-0.9731224320650427,1.4146836136523475
2018-05-17,21.115,32.555,-0.39300447149590867,0.7419504652371018,0.21080177846719717,-0.9604976246411934,0.4110886755387393
2018-05-18,21.145,32.625,-0.376569113929433,0.755129620972765,0.24570649650462856,-0.9605793860526717,0.3984700185471526
2018-05-21,21.785,33.635,-0.03139470935720684,0.9422009883390172,0.2870394853483247,-0.9615848873500524,0.6597412912053312
2018-05-22,21.435,32.855,-0.2188855678670251,0.7982343272924337,0.38469535243437925,-0.9793874995409793,0.4534248958109718
2018-05-23,21.295,33.425,-0.2947405340229601,0.9037718272036092,0.43960756310125004,-0.9850637983107976,0.29301833373129493
2018-05-24,21.435,33.525,-0.2188855678670251,0.9221014480169799,0.5041852507432836,-0.9972600620646441,0.3134645444184332
2018-05-25,21.495,33.635,-0.18652784383601972,0.9422009883390172,0.5820700565703577,-1.0134535020575586,0.27849867563840014
2018-05-29,21.505,34.005,-0.18114367246696936,1.0093293728997237,0.6341697672443929,-1.0200230346525678,0.1987931887008516
2018-05-30,21.395,34.365,-0.2405077422314339,1.0739460578758013,0.7240543466760385,-1.0445470665787215,0.026444013046717396
2018-05-31,21.355,34.695,-0.2621703791679603,1.1325861184892978,0.8154770259512317,-1.0691447274517825,-0.11662361125547971
2018-06-01,21.205,36.635,-0.3437682374809113,1.4664276490157626,0.8833655885991956,-1.087516376713555,-0.5516435840783
2018-06-04,21.425,37.915,-0.22428732635736992,1.67714909745538,0.8874010186490564,-1.0842987734983847,-0.628292370367235
2018-06-05,21.465,39.795,-0.20269539986460122,1.9740895927172053,0.8136902871459109,-1.0581919450493067,-0.7508009823651116
2018-06-06,21.525,40.095,-0.17038283670740353,2.020171942289074,0.7282785791397473,-1.0254908636564601,-0.6161399247992136
2018-06-07,21.415,39.695,-0.2296916066771735,1.9586515772658288,0.6644249068681769,-0.9995159658694385,-0.5315525326197911
2018-06-08,21.115,41.205,-0.39300447149590867,2.1877291675505415,0.61627466754908,-0.974086446602654,-0.7671600903128901
2018-06-11,21.135,41.415,-0.3820449741236699,2.21892084839679,0.5526437496949514,-0.9434540745162163,-0.6648636375417585
2018-06-12,21.145,43.485,-0.376569113929433,2.5181834685060545,0.49621596666552664,-0.9169234381657498,-0.7092085198295637
2018-06-13,20.905,44.075,-0.5087100197238408,2.6008741499465793,0.43682595283113906,-0.8865861376732243,-0.7582532107949098
2018-06-14,20.895,46.765,-0.5142487606116948,2.964375381170036,0.37856473697834137,-0.8537590099064203,-0.7826977371829795
2018-06-15,20.865,45.795,-0.5308809017412374,2.835767368630846,0.3143996385005251,-0.8118071854245528,-0.6106379518858078
2018-06-18,21.095,46.015,-0.4039743545577964,2.8651734573932273,0.2767673104642809,-0.7901803859141273,-0.4067803204600374
2018-06-19,21.165,44.905,-0.36562515827170106,2.7153468763693525,0.25371635530857695,-0.7759386346776783,-0.27861443646498396
2018-06-20,21.295,46.125,-0.2947405340229601,2.879823821645909,0.2453820708224288,-0.7763150369961532,-0.225082629986041
2018-06-21,21.165,45.225,-0.36562515827170106,2.758916737050828,0.22577630352308892,-0.7542368736696503,-0.23428630722136856
2018-06-22,21.325,45.895,-0.27844400167204125,2.849151245688484,0.20194511481585667,-0.7235372688375481,-0.1302789082727951
2018-06-25,20.925,44.185,-0.49764048195967986,2.616168559870286,0.18929297753460245,-0.705097290386085,-0.28776552800385413
2018-06-26,20.955,44.835,-0.4810559974113075,2.7057745873698082,0.17096026696735134,-0.6813579157814462,-0.26227802744007866
2018-06-27,20.695,43.69,-0.6255837687146913,2.5470414828336536,0.15430981313620806,-0.6596851318865182,-0.35893213209440455
2018-06-28,20.525,44.795,-0.7210677938249832,2.7002979956825524,0.13170651801404862,-0.6287876618586636,-0.44792697857798314
2018-06-29,20.505,43.685,-0.7323531646771473,2.5463392412301107,0.10686137764695695,-0.5966798918524407,-0.4077785920990631
2018-07-02,20.415,44.965,-0.7832739281702168,2.723539826518552,0.0873669521972891,-0.5666699782368416,-0.45455132376423446
2018-07-03,20.455,43.885,-0.7606148199130262,2.574366404289402,0.06468562714989892,-0.5321930023553291,-0.3949463229327873
2018-07-05,20.495,45.075,-0.7379999785621745,2.738531881077695,0.041838337210339645,-0.4923176362481315,-0.3602579626158373
2018-07-06,20.455,46.655,-0.7606148199130262,2.949925749990537,0.020051855665226565,-0.4527526681310227,-0.3670136371439489
2018-07-09,20.805,44.12,-0.5642170464059012,2.607135562592479,-0.005537630105290063,-0.40618516396190896,-0.1435945300640078
2018-07-10,20.735,43.735,-0.6032309387235744,2.5533580431899945,-0.02826150620151345,-0.35763124491177445,-0.17343794963950165
2018-07-11,20.565,43.865,-0.6985300047932566,2.571569441959825,-0.055653466942379895,-0.30015175633037194,-0.25526149353473915
2018-07-12,20.265,45.255,-0.8686428123783739,2.7629855939666816,-0.08701665604531078,-0.234683195924261,-0.3935338493657654
2018-07-13,20.255,44.475,-0.874356518434536,2.6563083926504407,-0.129051350883439,-0.15205390980861988,-0.3795024221913602
2018-07-16,20.255,44.255,-0.874356518434536,2.6258815542164933,-0.1710895587653431,-0.06432362052070131,-0.3607719814328815
2018-07-17,20.345,44.705,-0.8230344077126361,2.6879577626876663,-0.21746907394183973,0.034914431248327854,-0.2734011535144978
2018-07-18,20.575,43.345,-0.6929024070962464,2.4983972705334296,-0.2584114924939537,0.1250156708215417,-0.1723035103964244
2018-07-19,20.585,43.435,-0.6872775438977403,2.511124291468492,-0.2743324523246784,0.158778518347912,-0.15717317727503033
2018-07-20,20.295,43.425,-0.8515185958905948,2.509711480961614,-0.2865532617509523,0.1844072398086116,-0.31675982477584286
2018-07-23,20.185,43.295,-0.9144316215864622,2.4913152798992755,-0.30245427564651395,0.21523794850869732,-0.37616061170613196
2018-07-24,20.255,42.165,-0.874356518434536,2.3290428997854358,-0.31466157249898236,0.23602513573681472,-0.37752135290727573
2018-07-25,20.365,44.215,-0.8116603284534161,2.620333154603192,-0.3223997729305933,0.24682777765377645,-0.2136932920606182
2018-07-26,20.555,42.935,-0.7041603396487915,2.440082210315325,-0.315335966370335,0.22291028584146189,-0.15762494367740743
2018-07-27,20.485,34.115,-0.7436495483350105,1.029145654377191,-0.3034449284168429,0.18883092550824798,-0.6201914444202667
2018-07-30,20.545,31.375,-0.7097934143267433,0.5154180430516786,-0.2670053192479056,0.09317403456675148,-0.6653480897623505
